State,Date,Area Planted,Value_temp,Value_precipitation
alabama,1926,2660000.0,62.9,4.956666666666666
alabama,1927,2790000.0,65.58333333333333,3.91
alabama,1928,2620000.0,62.48333333333333,4.710833333333333
alabama,1929,2660000.0,63.43333333333334,6.2558333333333325
alabama,1930,2953000.0,63.26666666666667,3.816666666666667
alabama,1931,3100000.0,64.05,3.6533333333333338
alabama,1932,3232000.0,64.01666666666667,5.460833333333333
alabama,1933,3200000.0,65.10000000000001,3.9316666666666666
alabama,1934,3680000.0,63.4,4.6625000000000005
alabama,1935,3760000.0,63.574999999999996,4.086666666666667
alabama,1936,3497000.0,63.80833333333334,4.920833333333333
alabama,1937,3370000.0,63.39166666666667,4.933333333333333
alabama,1938,3673000.0,64.54166666666667,4.038333333333333
alabama,1939,3673000.0,63.875,4.964166666666666
alabama,1940,3565000.0,61.175000000000004,4.571666666666666
alabama,1941,3289000.0,63.6,3.848333333333333
alabama,1942,3140000.0,62.5,4.4750000000000005
alabama,1943,3225000.0,63.24166666666667,4.034166666666667
alabama,1944,2929000.0,63.60833333333333,5.038333333333333
alabama,1945,2814000.0,63.85,4.7025
alabama,1946,2633000.0,64.10833333333333,5.475833333333333
alabama,1947,2651000.0,62.65,5.134166666666666
alabama,1948,2584000.0,63.4,5.636666666666667
alabama,1949,2567000.0,64.22500000000001,4.78
alabama,1950,2678000.0,63.11666666666667,4.42
alabama,1951,2536000.0,63.76666666666667,4.41
alabama,1952,2536000.0,63.35,3.891666666666667
alabama,1953,2322000.0,63.75833333333333,4.954166666666667
alabama,1954,2417000.0,64.175,2.9499999999999997
alabama,1955,2252000.0,63.43333333333334,4.013333333333333
alabama,1956,2207000.0,63.583333333333336,4.476666666666667
alabama,1957,2136000.0,63.949999999999996,4.905
alabama,1958,1930000.0,61.21666666666667,4.101666666666667
alabama,1959,2023000.0,62.949999999999996,4.675833333333333
alabama,1960,1868000.0,61.541666666666664,4.251666666666667
alabama,1961,1476000.0,61.93333333333334,5.819166666666667
alabama,1962,1269000.0,63.050000000000004,4.175
alabama,1963,1282000.0,61.724999999999994,4.068333333333333
alabama,1964,1141000.0,62.39166666666666,5.541666666666667
alabama,1965,1038000.0,63.00833333333333,4.065
alabama,1966,991000.0,61.64166666666667,4.651666666666666
alabama,1967,1023000.0,61.916666666666664,4.650833333333334
alabama,1968,831000.0,61.0,3.7675
alabama,1969,785000.0,61.36666666666667,4.380833333333333
alabama,1970,699000.0,62.11666666666667,4.490833333333334
alabama,1971,699000.0,62.68333333333334,5.005833333333333
alabama,1972,631000.0,62.958333333333336,4.663333333333333
alabama,1973,694000.0,63.05833333333334,5.5975
alabama,1974,695000.0,63.1,5.033333333333333
alabama,1975,750000.0,62.824999999999996,6.23
alabama,1976,880000.0,60.675000000000004,4.665
alabama,1977,840000.0,62.458333333333336,4.8225
alabama,1978,640000.0,61.86666666666667,4.125
alabama,1979,570000.0,61.35833333333333,5.66
alabama,1980,540000.0,62.46666666666667,4.873333333333334
alabama,1981,600000.0,61.98333333333333,3.8166666666666664
alabama,1982,450000.0,63.34166666666667,5.094166666666666
alabama,1983,350000.0,61.19166666666666,5.864166666666667
alabama,1984,450000.0,62.81666666666666,4.210833333333333
alabama,1985,370000.0,62.791666666666664,4.275833333333334
alabama,1986,340000.0,64.09166666666667,3.980833333333333
alabama,1987,300000.0,63.041666666666664,4.010833333333333
alabama,1988,240000.0,62.074999999999996,4.258333333333334
alabama,1989,230000.0,62.199999999999996,5.433333333333334
alabama,1990,290000.0,64.91666666666667,4.739166666666667
alabama,1991,260000.0,63.958333333333336,5.270833333333333
alabama,1992,330000.0,62.10833333333333,4.9825
alabama,1993,300000.0,62.324999999999996,4.19
alabama,1994,290000.0,63.050000000000004,5.0275
alabama,1995,250000.0,63.03333333333333,4.964166666666666
alabama,1996,300000.0,62.125,4.860833333333333
alabama,1997,280000.0,62.36666666666667,5.246666666666667
alabama,1998,300000.0,65.125,4.9383333333333335
alabama,1999,220000.0,64.14166666666667,4.0841666666666665
alabama,2000,230000.0,63.56666666666666,3.5408333333333335
alabama,2001,180000.0,63.03333333333333,4.92
alabama,2002,200000.0,63.574999999999996,4.760833333333333
alabama,2003,220000.0,62.73333333333333,5.31
alabama,2004,220000.0,63.333333333333336,4.989999999999999
alabama,2005,220000.0,63.39166666666667,4.756666666666667
alabama,2006,200000.0,64.2,3.9616666666666664
alabama,2007,340000.0,64.39999999999999,3.155
alabama,2008,260000.0,62.916666666666664,4.4225
alabama,2009,280000.0,62.90833333333333,6.1475
alabama,2010,270000.0,62.708333333333336,3.9324999999999997
alabama,2011,270000.0,63.833333333333336,4.225833333333333
alabama,2012,310000.0,64.91666666666667,4.448333333333333
alabama,2013,320000.0,62.6,5.391666666666667
alabama,2014,300000.0,62.03333333333333,4.6691666666666665
alabama,2015,260000.0,64.61666666666666,5.113333333333333
alabama,2016,330000.0,65.34166666666667,3.750833333333333
alabama,2017,250000.0,65.03333333333333,5.349166666666666
alabama,2018,255000.0,64.45,5.366666666666667
alabama,2019,320000.0,65.375,4.691666666666666
alabama,2020,330000.0,64.86666666666666,5.7225
alabama,2021,350000.0,64.24166666666666,5.43
alabama,2022,,43.9,4.83
alabama,2023,,64.44216644977611,4.649917096459281
alabama,2024,,64.48107332518593,4.649617482173418
alabama,2025,,64.51128556945088,4.649384561958178
alabama,2026,,64.54109961735779,4.6491547116159575
alabama,2027,,64.57089542868434,4.648925001868004
alabama,2028,,64.60069040481272,4.648695298558981
alabama,2029,,64.63048534269075,4.648465595544848
alabama,2030,,64.660280278817,4.64823589254422
alabama,2031,,64.690075214863,4.648006189544211
alabama,2032,,46.19510617212527,5.098199175299333
arizona,1919,31000.0,58.083333333333336,1.3724999999999998
arizona,1920,29000.0,57.791666666666664,1.0691666666666666
arizona,1921,35000.0,59.925000000000004,1.1366666666666667
arizona,1922,39000.0,58.625,1.0108333333333333
arizona,1923,33000.0,57.85833333333333,1.2666666666666666
arizona,1924,31000.0,58.61666666666667,0.6825
arizona,1925,32000.0,59.1,0.9958333333333332
arizona,1926,34000.0,59.60833333333333,1.1958333333333333
arizona,1927,35000.0,59.53333333333333,1.2033333333333334
arizona,1928,32000.0,59.63333333333333,0.7583333333333333
arizona,1929,28000.0,58.53333333333333,0.8641666666666666
arizona,1930,27000.0,58.53333333333333,1.1191666666666666
arizona,1931,30000.0,59.21666666666667,1.4608333333333334
arizona,1932,35000.0,58.38333333333333,1.035
arizona,1933,35000.0,58.75,0.9249999999999999
