"PlayerID";"OrderID";"OrderDate";"Price"
77;670;2019-11-01;207,35
126;554;2019-11-01;43,71
126;555;2019-11-01;28,23
196;337;2019-11-01;54,96
273;425;2019-11-01;48,57
314;590;2019-11-01;34,27
333;948;2019-11-01;91,38
420;1045;2019-11-01;11,13
422;281;2019-11-01;75,22
427;938;2019-11-01;55,03
447;160;2019-11-01;131,9
447;161;2019-11-01;57,86
495;1053;2019-11-01;26,44
551;198;2019-11-01;182,94
613;740;2019-11-01;84,79
693;182;2019-11-01;71,3
762;698;2019-11-01;20,95
872;1029;2019-11-01;20,3
1236;385;2019-11-01;40,5
1401;369;2019-11-01;116,26
1829;548;2019-11-01;33,41
1829;549;2019-11-01;147,7
2081;159;2019-11-01;16,64
2128;641;2019-11-01;67,51
2128;642;2019-11-01;116,49
2162;494;2019-11-01;10,07
2190;304;2019-11-01;45,35
2314;1039;2019-11-01;55,98
2374;1096;2019-11-01;39,19
2424;840;2019-11-01;75,79
2543;943;2019-11-01;25,46
2543;944;2019-11-01;54,37
2599;87;2019-11-01;169,19
2814;421;2019-11-01;36,14
2818;567;2019-11-01;33,12
2878;162;2019-11-01;82,41
2878;163;2019-11-01;44,9
2889;768;2019-11-01;64,43
2889;769;2019-11-01;11,12
2889;770;2019-11-01;33,92
2889;771;2019-11-01;66,76
3185;630;2019-11-01;80,32
3200;113;2019-11-01;54,1
3225;88;2019-11-01;108,2
3262;534;2019-11-01;46,38
3264;599;2019-11-01;58,24
3264;600;2019-11-01;54,33
3264;601;2019-11-01;42,74
3414;741;2019-11-01;23,44
3418;924;2019-11-01;45,59
3531;135;2019-11-01;30,42
3537;732;2019-11-01;64,75
3710;848;2019-11-01;77,45
3760;810;2019-11-01;58,21
3766;963;2019-11-01;65,19
3780;154;2019-11-01;12,46
3815;445;2019-11-01;33,21
4099;993;2019-11-01;37,92
4114;177;2019-11-01;65,64
4114;178;2019-11-01;50,87
4124;958;2019-11-01;90,57
4171;1046;2019-11-01;14,06
4246;594;2019-11-01;37,62
4356;719;2019-11-01;25,98
4569;133;2019-11-01;94,73
4570;153;2019-11-01;95,91
4675;422;2019-11-01;76,16
4677;446;2019-11-01;10,68
4750;455;2019-11-01;20,07
4929;845;2019-11-01;29,87
5106;203;2019-11-01;12,08
5106;204;2019-11-01;65,53
5106;205;2019-11-01;56,38
5106;206;2019-11-01;109,2
5195;702;2019-11-01;5,22
5197;787;2019-11-01;51,55
5231;179;2019-11-01;33,44
5285;539;2019-11-01;100,19
5382;563;2019-11-01;2,65
5389;721;2019-11-01;61,22
5398;950;2019-11-01;79,27
5437;365;2019-11-01;100,32
5524;60;2019-11-01;91,03
5525;64;2019-11-01;218,03
5680;215;2019-11-01;46,11
5930;720;2019-11-01;66,55
6036;124;2019-11-01;24,52
6073;426;2019-11-01;283,67
6122;181;2019-11-01;69,54
6182;53;2019-11-01;57,43
6221;692;2019-11-01;43,34
6244;405;2019-11-01;103,47
6244;406;2019-11-01;11,34
6303;501;2019-11-01;26,64
6303;502;2019-11-01;77,17
6303;503;2019-11-01;145,61
6303;504;2019-11-01;78,63
6303;505;2019-11-01;35,07
6303;506;2019-11-01;65,06
6303;507;2019-11-01;97,84
6385;956;2019-11-01;39,92
6482;654;2019-11-01;134,26
6530;136;2019-11-01;33,09
6560;946;2019-11-01;86,33
6783;658;2019-11-01;77,48
6826;714;2019-11-01;59,97
6978;675;2019-11-01;69,97
6987;880;2019-11-01;43,05
7093;586;2019-11-01;8,29
7097;733;2019-11-01;43,56
7417;195;2019-11-01;41,91
7429;780;2019-11-01;46,45
7497;74;2019-11-01;17,19
7596;120;2019-11-01;104,8
7599;217;2019-11-01;33,69
7609;462;2019-11-01;33,51
7609;463;2019-11-01;81,46
7609;464;2019-11-01;45,28
7609;465;2019-11-01;12,22
7609;466;2019-11-01;9,34
7609;467;2019-11-01;53,36
7609;468;2019-11-01;67,03
7609;469;2019-11-01;36,58
7609;470;2019-11-01;73,53
7609;471;2019-11-01;24,29
7609;472;2019-11-01;58,91
7609;473;2019-11-01;75,18
7609;474;2019-11-01;36,4
7609;475;2019-11-01;33,78
7609;476;2019-11-01;28,88
7731;656;2019-11-01;20,89
7743;918;2019-11-01;121,56
7786;699;2019-11-01;10,57
7846;85;2019-11-01;108,57
7846;86;2019-11-01;100,49
7849;291;2019-11-01;68,79
8020;116;2019-11-01;104,83
8206;985;2019-11-01;160,09
8378;937;2019-11-01;107,64
8420;283;2019-11-01;14,7
8436;579;2019-11-01;55,31
8820;192;2019-11-01;85,78
8820;193;2019-11-01;48,25
8820;194;2019-11-01;49,84
8832;559;2019-11-01;125,14
8919;313;2019-11-01;24,31
8993;454;2019-11-01;93,4
9048;156;2019-11-01;50,66
9154;653;2019-11-01;28,65
9223;303;2019-11-01;62,28
9228;412;2019-11-01;50,02
9329;940;2019-11-01;119,68
9357;1085;2019-11-01;54,03
9529;863;2019-11-01;61,65
9573;267;2019-11-01;32,06
9630;100;2019-11-01;76,6
9631;318;2019-11-01;6,42
9700;335;2019-11-01;29,75
9700;336;2019-11-01;121,63
9713;571;2019-11-01;54,99
